SECT_NAME,SECT_CODE,LIE_NAME,LIE_CODE,LI_NO,SDFKEY,SDFNAME
士林區,6301100,福華里,6301100013,024,6301100013024,福華里24鄰
中山區,6300400,劍潭里,6300400013,016,6300400013016,劍潭里16鄰
士林區,6301100,承德里,6301100012,003,6301100012003,承德里3鄰
士林區,6301100,承德里,6301100012,014,6301100012014,承德里14鄰
內湖區,6301000,港華里,6301000008,004,6301000008004,港華里4鄰
士林區,6301100,福華里,6301100013,026,6301100013026,福華里26鄰
內湖區,6301000,西湖里,6301000001,019,6301000001019,西湖里19鄰
內湖區,6301000,清白里,6301000017,009,6301000017009,清白里9鄰
內湖區,6301000,港富里,6301000007,009,6301000007009,港富里9鄰
內湖區,6301000,港都里,6301000006,008,6301000006008,港都里8鄰
內湖區,6301000,湖濱里,6301000010,025,6301000010025,湖濱里25鄰
內湖區,6301000,湖濱里,6301000010,002,6301000010002,湖濱里2鄰
內湖區,6301000,西湖里,6301000001,005,6301000001005,西湖里5鄰
士林區,6301100,福華里,6301100013,023,6301100013023,福華里23鄰
士林區,6301100,葫蘆里,6301100017,004,6301100017004,葫蘆里4鄰
士林區,6301100,葫蘆里,6301100017,001,6301100017001,葫蘆里1鄰
內湖區,6301000,港都里,6301000006,010,6301000006010,港都里10鄰
士林區,6301100,福華里,6301100013,027,6301100013027,福華里27鄰
士林區,6301100,承德里,6301100012,009,6301100012009,承德里9鄰
中山區,6300400,大直里,6300400014,017,6300400014017,大直里17鄰
中山區,6300400,大直里,6300400014,018,6300400014018,大直里18鄰
內湖區,6301000,港華里,6301000008,002,6301000008002,港華里2鄰
內湖區,6301000,內湖里,6301000009,015,6301000009015,內湖里15鄰
中山區,6300400,大直里,6300400014,022,6300400014022,大直里22鄰
士林區,6301100,承德里,6301100012,021,6301100012021,承德里21鄰
內湖區,6301000,清白里,6301000017,022,6301000017022,清白里22鄰
士林區,6301100,福華里,6301100013,021,6301100013021,福華里21鄰
士林區,6301100,富光里,6301100016,023,6301100016023,富光里23鄰
內湖區,6301000,湖濱里,6301000010,021,6301000010021,湖濱里21鄰
士林區,6301100,承德里,6301100012,001,6301100012001,承德里1鄰
中山區,6300400,大直里,6300400014,032,6300400014032,大直里32鄰
內湖區,6301000,港富里,6301000007,008,6301000007008,港富里8鄰
內湖區,6301000,紫星里,6301000011,039,6301000011039,紫星里39鄰
士林區,6301100,福華里,6301100013,012,6301100013012,福華里12鄰
內湖區,6301000,清白里,6301000017,002,6301000017002,清白里2鄰
內湖區,6301000,湖濱里,6301000010,022,6301000010022,湖濱里22鄰
士林區,6301100,富光里,6301100016,024,6301100016024,富光里24鄰
士林區,6301100,富光里,6301100016,022,6301100016022,富光里22鄰
士林區,6301100,福華里,6301100013,019,6301100013019,福華里19鄰
內湖區,6301000,內湖里,6301000009,014,6301000009014,內湖里14鄰
士林區,6301100,富光里,6301100016,014,6301100016014,富光里14鄰
內湖區,6301000,湖濱里,6301000010,029,6301000010029,湖濱里29鄰
中山區,6300400,成功里,6300400015,011,6300400015011,成功里11鄰
士林區,6301100,福華里,6301100013,016,6301100013016,福華里16鄰
內湖區,6301000,港都里,6301000006,003,6301000006003,港都里3鄰
士林區,6301100,福華里,6301100013,015,6301100013015,福華里15鄰
內湖區,6301000,清白里,6301000017,030,6301000017030,清白里30鄰
士林區,6301100,福華里,6301100013,014,6301100013014,福華里14鄰
內湖區,6301000,紫星里,6301000011,037,6301000011037,紫星里37鄰
內湖區,6301000,港都里,6301000006,007,6301000006007,港都里7鄰
